75	67	79	67
74	75	83	72
88	74	89	73
93	90	95	84
109	93	109	92
111	109	114	101
119	110	122	108
137	120	140	119
141	138	145	117
126	143	148	124
105	129	131	104
96	99	102	76
86	98	100	82
86	82	88	64
99	88	100	83
96	99	107	94
84	94	98	78
78	84	86	71
91	84	91	83
98	93	101	89
111	97	112	96
100	111	112	95
116	93	118	92
119	116	121	113
131	121	133	121
110	131	136	108
132	111	132	111
125	131	133	123
111	125	132	111
114	111	116	104
128	115	128	115
120	129	130	115
122	130	131	117
113	121	127	106
99	110	114	96
94	98	102	89
102	94	102	92
105	102	107	94
103	106	110	101
101	104	109	101
107	101	107	96
106	107	108	101
116	108	116	107
115	117	118	111
113	115	118	110
98	110	110	94
87	99	100	82
69	82	86	67
70	69	75	60
58	66	66	48
66	60	69	58
55	65	67	52
57	51	59	49
51	59	60	51
55	52	60	50
38	55	56	32
47	36	49	34
42	47	50	39
57	40	58	39
64	58	66	56
66	64	68	59
61	66	68	56
64	60	70	60
61	64	67	59
66	62	66	60
66	67	70	63
60	67	70	58
59	60	61	57
66	60	66	60
74	68	75	68
97	76	97	76
98	99	104	93
98	98	107	96
113	99	114	99
99	114	119	98
89	98	102	81
87	86	90	79
84	86	88	76
84	85	88	79
89	85	94	85
84	90	92	80
81	84	88	72
84	83	87	81
79	83	85	77
72	77	78	67
75	72	76	66
80	75	81	75
83	78	84	76
90	83	94	83
88	89	94	84
94	88	94	86
93	95	101	93
91	92	94	85
98	91	99	88
97	99	101	91
103	96	103	96
105	104	106	99
101	104	107	99
91	100	100	87
86	91	93	83
87	87	90	83
86	86	88	82
71	85	85	71
73	70	74	68
71	72	75	67
64	69	74	64
75	64	76	61
76	75	78	73
80	77	83	77
82	79	82	75
77	82	83	76
70	76	76	68
63	70	71	61
59	60	61	44
53	60	64	51
61	53	62	51
53	60	62	52
50	51	53	46
48	47	50	44
43	47	52	40
36	42	44	35
43	36	44	32
32	43	45	31
47	32	48	31
53	47	54	43
48	52	54	47
42	50	53	41
38	42	42	37
36	38	42	32
32	36	36	30
22	31	32	17
20	21	24	15
20	19	21	13
16	21	22	13
24	16	30	15
32	23	32	20
33	32	34	26
35	33	37	28
36	33	37	33
44	38	44	35
46	45	48	42
44	46	47	39
40	44	48	37
35	40	41	34
26	35	36	24
31	26	31	25
36	30	37	26
41	35	41	33
40	40	42	35
45	42	45	41
39	44	45	39
34	41	41	34
33	34	38	33
37	33	39	31
28	35	35	28
31	28	32	28
26	31	33	25
23	25	25	19
22	23	24	19
19	21	22	15
17	19	20	14
13	15	16	12
13	13	14	10
17	13	18	13
11	16	16	10
9	10	12	9
5	9	9	3
13	4	15	3
12	13	14	11
3	12	12	2
9	2	9	0
10	8	13	6
13	11	14	9
7	12	14	6
12	6	12	5
7	11	12	6
1	7	8	0
3	1	3	0
-2	2	3	-4
6	-2	7	-5
15	7	15	6
15	15	19	14
23	15	23	15
28	24	30	24
24	27	30	23
32	24	33	24
29	32	36	29
42	30	42	30
43	43	44	39
31	42	44	31
36	32	37	29
32	33	35	26
28	31	33	25
33	27	33	23
24	33	34	23
23	23	25	22
21	20	24	18
24	20	25	17
18	24	25	17
21	17	22	16
25	21	26	21
28	25	29	21
29	29	31	27
30	29	33	28
21	30	31	21
16	19	19	13
7	17	17	4
-2	7	7	-15
1	-3	2	-4
4	-2	9	-5
-1	5	8	-1
1	-2	5	-3
3	0	5	-3
5	3	7	3
7	6	20	6
6	6	10	3
10	6	11	6
14	10	14	8
24	15	27	15
19	24	25	17
16	20	22	15
17	17	18	17
23	17	23	16
19	23	24	18
13	20	23	12
15	14	16	9
11	16	17	10
14	10	15	8
20	15	21	14
22	19	23	18
24	20	26	17
20	24	25	18
8	20	20	8
10	9	11	7
8	11	12	8
1	8	8	1
0	1	3	0
5	0	6	-2
3	4	5	3
4	2	4	1
12	5	12	5
11	12	18	10
6	10	10	1
6	5	8	3
0	4	4	-3
5	1	5	-1
4	5	8	4
6	4	7	2
13	5	15	5
10	13	13	8
4	9	10	4
3	3	4	0
1	2	4	0
3	2	6	1
3	2	4	-1
4	4	6	3
3	4	5	1
7	2	7	2
3	7	9	1
4	3	4	2
6	4	7	4
5	6	6	3
6	5	8	4
13	6	13	5
19	14	22	14
19	19	23	18
23	20	23	20
24	23	25	21
22	24	24	19
33	22	33	22
33	33	34	30
33	33	35	28
35	32	37	28
36	35	37	35
37	37	39	35
34	37	39	31
30	35	36	30
42	29	42	28
42	43	45	40
48	44	51	43
49	51	51	44
68	51	68	50
94	69	98	67
94	91	109	81
111	92	112	89
116	113	119	93
123	121	124	113
129	126	140	125
138	126	140	119
135	119	141	110
121	135	139	121
108	115	125	105
120	106	124	105
125	121	126	120
131	126	132	120
124	133	134	122
137	122	139	120
162	139	163	138
169	164	172	160
186	171	186	171
203	190	204	189
229	207	232	203
239	230	244	219
244	244	257	240
221	244	249	210
231	223	242	219
266	228	266	226
261	266	299	243
302	263	305	262
317	305	318	300
248	317	318	248
219	247	272	214
169	229	232	163
188	198	198	137
196	192	204	169
207	195	218	191
166	199	205	154
174	161	178	155
197	179	200	178
151	195	201	149
123	137	139	85
116	120	121	102
120	115	126	101
110	122	123	98
109	107	121	106
105	109	110	102
118	116	119	113
139	119	139	119
141	140	145	127
138	145	146	133
159	134	160	130
158	159	167	156
163	152	168	152
144	163	167	141
152	143	159	133
143	153	154	141
158	140	161	140
163	157	168	157
154	164	164	152
119	154	154	106
90	113	117	87
92	85	102	84
74	93	96	64
76	73	79	66
86	68	89	68
77	89	93	72
87	75	88	64
81	89	91	77
96	83	97	82
98	98	103	95
101	99	102	91
98	100	106	96
108	101	110	100
96	106	106	91
94	95	98	92
91	94	100	91
83	90	90	78
83	82	86	78
82	83	85	78
94	81	95	79
93	94	95	91
89	90	91	81
85	89	92	81
93	84	94	84
99	92	102	92
105	99	107	98
101	105	106	101
98	101	106	94
98	97	99	93
105	97	105	96
111	106	114	105
107	111	111	104
107	107	109	105
108	107	111	105
100	104	104	100
103	101	105	101
100	103	103	97
106	102	107	101
109	106	110	103
110	109	114	109
113	110	114	108
120	112	120	110
119	119	122	119
126	119	126	119
124	127	130	124
123	120	124	119
112	123	125	110
111	112	114	108
110	110	113	107
115	111	117	111
111	115	117	110
112	110	113	104
