日期	最新股价	开盘	高	低	交易量	百分比变化
2015年6月2日	129.96	129.86	130.66	129.32	33.67M	-0.44%
2015年6月1日	130.53	131.20	131.39	130.05	32.11M	0.19%
2015年5月29日	130.28	131.23	131.45	129.90	50.88M	-1.14%
2015年5月28日	131.78	131.86	131.95	131.10	30.73M	-0.20%
2015年5月27日	132.04	130.34	132.26	130.05	45.83M	1.87%
2015年5月26日	129.62	132.60	132.91	129.12	70.70M	-2.20%
2015年5月22日	132.54	131.60	132.97	131.40	45.60M	0.88%
2015年5月21日	131.39	130.07	131.63	129.83	39.73M	1.02%
2015年5月20日	130.06	130.00	130.98	129.34	36.45M	-0.01%
2015年5月19日	130.07	130.69	130.88	129.64	44.63M	-0.09%
2015年5月18日	130.19	128.38	130.72	128.36	50.88M	1.10%
2015年5月15日	128.77	129.07	129.49	128.21	38.21M	-0.14%
2015年5月14日	128.95	127.41	128.95	127.16	45.20M	2.33%
2015年5月13日	126.01	126.15	127.19	125.87	34.69M	0.12%
2015年5月12日	125.86	125.60	126.88	124.82	48.16M	-0.36%
2015年5月11日	126.32	127.39	127.56	125.62	42.04M	-1.02%
2015年5月8日	127.62	126.68	127.62	126.11	55.55M	1.88%
2015年5月7日	125.26	124.77	126.08	124.02	43.94M	0.20%
2015年5月6日	125.01	126.56	126.75	123.36	72.14M	-0.63%
2015年5月5日	125.80	128.15	128.45	125.78	49.27M	-2.25%
2015年5月4日	128.70	129.50	130.57	128.26	50.99M	-0.19%
2015年5月1日	128.95	126.10	130.13	125.30	58.51M	3.04%
2015年4月30日	125.15	127.50	127.88	124.58	83.20M	-2.71%
2015年4月29日	128.64	130.16	131.59	128.30	63.39M	-1.47%
2015年4月28日	130.56	134.46	134.54	129.57	118.92M	-1.58%
2015年4月27日	132.65	132.31	133.13	131.15	96.95M	1.82%
2015年4月24日	130.28	130.49	130.63	129.23	44.53M	0.47%
2015年4月23日	129.67	128.30	130.42	128.14	45.77M	0.82%
2015年4月22日	128.62	126.99	128.87	126.32	37.65M	1.35%
2015年4月21日	126.91	128.10	128.20	126.67	32.44M	-0.54%
2015年4月20日	127.60	125.57	128.12	125.17	47.05M	2.28%
2015年4月17日	124.75	125.55	126.14	124.46	51.96M	-1.13%
2015年4月16日	126.17	126.28	127.10	126.11	28.37M	-0.48%
2015年4月15日	126.78	126.41	127.13	126.01	28.97M	0.38%
2015年4月14日	126.30	127.00	127.29	125.91	25.52M	-0.43%
2015年4月13日	126.85	128.37	128.57	126.61	36.37M	-0.20%
2015年4月10日	127.10	125.95	127.21	125.26	40.19M	0.43%
2015年4月9日	126.56	125.85	126.58	124.66	32.48M	0.76%
2015年4月8日	125.60	125.85	126.40	124.97	37.33M	-0.33%
2015年4月7日	126.01	127.64	128.12	125.98	35.01M	-1.05%
2015年4月6日	127.35	124.47	127.51	124.33	37.19M	1.62%
2015年4月2日	125.32	125.03	125.56	124.19	32.22M	0.86%
2015年4月1日	124.25	124.82	125.12	123.10	40.62M	-0.14%
2015年3月31日	124.43	126.09	126.49	124.36	42.09M	-1.54%
2015年3月30日	126.37	124.05	126.40	124.00	47.10M	2.53%
2015年3月27日	123.25	124.57	124.70	122.91	39.55M	-0.80%
2015年3月26日	124.24	122.76	124.88	122.60	47.57M	0.70%
2015年3月25日	123.38	126.54	126.82	123.38	51.66M	-2.61%
2015年3月24日	126.69	127.23	128.04	126.56	32.84M	-0.41%
2015年3月23日	127.21	127.12	127.85	126.52	37.71M	1.04%
2015年3月20日	125.90	128.25	128.40	125.16	68.70M	-1.25%
2015年3月19日	127.50	128.75	129.25	127.40	45.81M	-0.76%
2015年3月18日	128.47	127.00	129.16	126.37	65.27M	1.13%
2015年3月17日	127.04	125.90	127.32	125.65	51.02M	1.67%
2015年3月16日	124.95	123.88	124.95	122.87	35.87M	1.10%
2015年3月13日	123.59	124.40	125.40	122.58	51.83M	-0.69%
2015年3月12日	124.45	122.31	124.90	121.63	48.36M	1.81%
2015年3月11日	122.24	124.75	124.77	122.11	68.94M	-1.82%
2015年3月10日	124.51	126.41	127.22	123.80	68.86M	-2.07%
2015年3月9日	127.14	127.96	129.57	125.06	88.53M	0.43%
2015年3月6日	126.60	128.40	129.37	126.26	72.84M	0.15%
2015年3月5日	126.41	128.58	128.75	125.76	56.52M	-1.66%
2015年3月4日	128.54	129.10	129.56	128.32	31.67M	-0.63%
2015年3月3日	129.36	128.96	129.52	128.09	37.82M	0.21%
2015年3月2日	129.09	129.25	130.28	128.30	48.10M	0.49%
2015年2月27日	128.46	130.00	130.57	128.24	62.01M	-1.50%
2015年2月26日	130.41	128.78	130.87	126.61	91.29M	1.26%
2015年2月25日	128.79	131.56	131.60	128.15	74.71M	-2.56%
2015年2月24日	132.17	132.94	133.60	131.17	69.23M	-0.62%
2015年2月23日	133.00	130.02	133.00	129.66	70.97M	2.70%
2015年2月20日	129.50	128.62	129.50	128.05	48.95M	0.82%
2015年2月19日	128.45	128.48	129.03	128.33	37.36M	-0.21%
2015年2月18日	128.72	127.62	128.78	127.45	44.89M	0.70%
2015年2月17日	127.83	127.49	128.88	126.92	63.15M	0.59%
2015年2月13日	127.08	127.28	127.28	125.65	54.27M	0.49%
2015年2月12日	126.46	126.06	127.48	125.57	74.47M	1.27%
2015年2月11日	124.88	122.77	124.92	122.50	73.56M	2.34%
2015年2月10日	122.02	120.17	122.15	120.16	62.01M	1.92%
2015年2月9日	119.72	118.55	119.84	118.43	38.89M	0.66%
2015年2月6日	118.93	120.02	120.25	118.45	43.71M	-0.84%
2015年2月5日	119.94	120.02	120.23	119.25	42.25M	0.32%
2015年2月4日	119.56	118.50	120.51	118.31	70.15M	0.77%
2015年2月3日	118.65	118.50	119.09	117.61	51.92M	0.02%
2015年2月2日	118.63	118.05	119.17	116.08	62.74M	1.25%
2015年1月30日	117.16	118.40	120.00	116.85	83.75M	-1.46%
2015年1月29日	118.90	116.32	119.19	115.56	84.44M	3.11%
2015年1月28日	115.31	117.62	118.12	115.31	146.48M	5.65%
2015年1月27日	109.14	112.42	112.48	109.03	95.57M	-3.50%
2015年1月26日	113.10	113.74	114.36	112.80	55.61M	0.11%
2015年1月23日	112.98	112.30	113.75	111.53	46.46M	0.52%
2015年1月22日	112.40	110.26	112.47	109.72	53.80M	2.60%
2015年1月21日	109.55	108.95	111.06	108.27	48.58M	0.76%
2015年1月20日	108.72	107.84	108.87	106.50	49.90M	2.58%
2015年1月16日	105.99	107.03	107.58	105.20	78.51M	-0.78%
2015年1月15日	106.82	110.00	110.06	106.66	60.01M	-2.71%
2015年1月14日	109.80	109.04	110.49	108.50	48.96M	-0.38%
2015年1月13日	110.22	111.43	112.80	108.91	67.09M	0.89%
2015年1月12日	109.25	112.60	112.63	108.80	49.65M	-2.46%
2015年1月9日	112.01	112.67	113.25	110.21	53.70M	0.11%
2015年1月8日	111.89	109.23	112.15	108.70	59.36M	3.84%
2015年1月7日	107.75	107.20	108.20	106.69	40.11M	1.40%
2015年1月6日	106.26	106.54	107.43	104.63	65.80M	0.01%
2015年1月5日	106.25	108.29	108.65	105.41	64.29M	-2.82%
2015年1月2日	109.33	111.39	111.44	107.35	53.20M	-0.95%
2014年12月31日	110.38	112.82	113.13	110.21	41.40M	-1.90%
2014年12月30日	112.52	113.64	113.92	112.11	29.88M	-1.22%
2014年12月29日	113.91	113.79	114.77	113.70	27.60M	-0.07%
2014年12月26日	113.99	112.10	114.52	112.01	33.72M	1.77%
2014年12月24日	112.01	112.58	112.71	112.01	14.48M	-0.47%
2014年12月23日	112.54	113.23	113.33	112.46	26.03M	-0.35%
2014年12月22日	112.94	112.16	113.49	111.97	45.17M	1.04%
2014年12月19日	111.78	112.26	113.24	111.66	88.43M	-0.77%
2014年12月18日	112.65	111.87	112.65	110.66	59.01M	2.96%
2014年12月17日	109.41	107.12	109.84	106.82	53.41M	2.49%
2014年12月16日	106.75	106.37	110.16	106.26	60.79M	-1.36%
