日期	最新股价	开盘	高	低	交易量	百分比变化
2014年4月7日	74.78	75.43	75.84	74.56	72.46M	-1.57%
2014年4月4日	75.97	77.12	77.14	75.80	68.81M	-1.30%
2014年4月3日	76.97	77.34	77.50	76.81	40.65M	-0.70%
2014年4月2日	77.51	77.48	77.64	77.18	45.10M	0.17%
2014年4月1日	77.38	76.82	77.41	76.68	50.19M	0.91%
2014年3月31日	76.68	77.03	77.26	76.56	42.17M	-0.01%
2014年3月28日	76.69	76.90	76.99	76.32	50.14M	-0.12%
2014年3月27日	76.78	77.14	77.36	76.45	55.51M	-0.43%
2014年3月26日	77.11	78.07	78.43	76.98	74.94M	-0.96%
2014年3月25日	77.86	77.36	77.96	77.08	70.57M	1.08%
2014年3月24日	77.03	76.92	77.21	76.44	88.92M	1.20%
2014年3月21日	76.12	75.99	76.25	75.19	93.61M	0.78%
2014年3月20日	75.53	75.70	76.10	75.34	52.10M	-0.47%
2014年3月19日	75.89	76.04	76.61	75.57	56.19M	-0.03%
2014年3月18日	75.91	75.13	76.00	75.03	52.41M	0.88%
2014年3月17日	75.25	75.39	75.71	75.12	49.89M	0.39%
2014年3月14日	74.96	75.54	75.84	74.71	59.30M	-1.12%
2014年3月13日	75.81	76.78	77.09	75.59	64.44M	-1.11%
2014年3月12日	76.66	76.36	76.76	76.00	50.20M	0.10%
2014年3月11日	76.58	76.49	76.96	76.08	70.20M	0.96%
2014年3月10日	75.85	75.48	76.19	75.48	44.69M	0.09%
2014年3月7日	75.78	75.87	76.00	75.15	55.42M	-0.05%
2014年3月6日	75.82	76.11	76.35	75.44	46.42M	-0.30%
2014年3月5日	76.05	75.85	76.39	75.59	50.07M	0.21%
2014年3月4日	75.89	75.86	76.09	75.40	64.88M	0.66%
2014年3月3日	75.39	74.77	75.81	74.69	59.78M	0.28%
2014年2月28日	75.18	75.58	76.11	74.59	93.07M	-0.27%
2014年2月27日	75.38	73.88	75.54	73.72	75.56M	1.99%
2014年2月26日	73.91	74.80	75.00	73.66	69.13M	-0.90%
2014年2月25日	74.58	75.63	75.65	74.43	58.25M	-1.04%
2014年2月24日	75.36	74.74	75.70	74.63	72.37M	0.43%
2014年2月21日	75.04	76.11	76.37	74.94	69.76M	-1.11%
2014年2月20日	75.88	76.14	76.71	75.57	76.53M	-1.16%
2014年2月19日	76.77	77.82	78.13	76.34	78.55M	-1.58%
2014年2月18日	78.00	78.00	78.74	77.94	65.31M	0.37%
2014年2月14日	77.71	77.50	78.00	77.32	68.47M	-0.09%
2014年2月13日	77.78	76.38	77.84	76.31	76.96M	1.59%
2014年2月12日	76.56	76.71	77.08	76.18	77.13M	-0.01%
2014年2月11日	76.57	75.80	76.82	75.64	70.67M	1.32%
2014年2月10日	75.57	74.09	76.00	74.00	86.45M	1.79%
2014年2月7日	74.24	74.48	74.70	73.91	93.64M	1.39%
2014年2月6日	73.22	72.87	73.36	72.54	64.50M	-0.01%
2014年2月5日	73.23	72.37	73.61	72.32	82.32M	0.76%
2014年2月4日	72.68	72.26	72.78	71.82	94.27M	1.44%
2014年2月3日	71.65	71.80	72.53	71.33	100.62M	0.20%
2014年1月31日	71.51	70.74	71.65	70.51	116.34M	0.15%
2014年1月30日	71.40	71.79	72.36	70.96	169.76M	-0.20%
2014年1月29日	71.54	71.99	72.48	71.23	125.94M	-1.13%
2014年1月28日	72.36	72.68	73.57	71.72	266.83M	-7.99%
2014年1月27日	78.64	78.58	79.26	77.96	144.22M	0.81%
2014年1月24日	78.01	79.14	79.37	77.82	108.38M	-1.81%
2014年1月23日	79.45	78.56	79.50	77.83	100.98M	0.84%
2014年1月22日	78.79	78.70	79.61	78.26	95.22M	0.45%
2014年1月21日	78.44	77.28	78.58	77.20	82.26M	1.55%
2014年1月17日	77.24	78.78	78.87	77.13	108.43M	-2.45%
2014年1月16日	79.18	79.27	79.55	78.81	57.47M	-0.55%
2014年1月15日	79.62	79.07	80.03	78.81	98.47M	2.00%
2014年1月14日	78.06	76.89	78.10	76.81	83.73M	2.00%
2014年1月13日	76.53	75.70	77.50	75.70	94.86M	0.53%
2014年1月10日	76.13	77.12	77.26	75.87	76.32M	-0.68%
2014年1月9日	76.65	78.11	78.12	76.48	69.91M	-1.28%
2014年1月8日	77.64	76.97	77.94	76.96	64.69M	0.64%
2014年1月7日	77.15	77.76	77.99	76.85	79.43M	-0.71%
2014年1月6日	77.70	76.78	78.11	76.23	103.36M	0.54%
2014年1月3日	77.28	78.98	79.10	77.20	98.30M	-2.20%
2014年1月2日	79.02	79.38	79.58	78.86	58.79M	-1.41%
2013年12月31日	80.15	79.17	80.18	79.14	55.82M	1.17%
2013年12月30日	79.22	79.64	80.01	78.90	63.41M	-0.99%
2013年12月27日	80.01	80.55	80.63	79.93	56.47M	-0.68%
2013年12月26日	80.56	81.16	81.36	80.48	51.00M	-0.67%
2013年12月24日	81.10	81.41	81.70	80.86	41.89M	-0.42%
2013年12月23日	81.44	81.14	81.53	80.39	125.33M	3.84%
2013年12月20日	78.43	77.92	78.80	77.83	109.10M	0.84%
2013年12月19日	77.78	78.50	78.57	77.68	80.24M	-1.14%
2013年12月18日	78.68	78.53	78.78	76.97	141.47M	-0.76%
2013年12月17日	79.28	79.40	79.92	79.05	57.48M	-0.45%
2013年12月16日	79.64	79.29	80.38	79.29	70.65M	0.56%
2013年12月13日	79.20	80.41	80.41	79.10	83.21M	-1.10%
2013年12月12日	80.08	80.31	80.76	80.00	65.57M	-0.14%
2013年12月11日	80.19	81.00	81.57	79.96	89.93M	-0.74%
2013年12月10日	80.79	80.51	81.13	80.17	69.57M	-0.16%
2013年12月9日	80.92	80.13	81.37	80.13	80.12M	1.15%
2013年12月6日	80.00	80.83	80.96	79.94	86.09M	-1.39%
2013年12月5日	81.13	81.81	82.16	80.92	111.90M	0.52%
2013年12月4日	80.71	80.79	81.31	80.12	94.45M	-0.23%
2013年12月3日	80.90	79.76	80.91	79.67	112.74M	2.73%
最高: 134.54	最低: 70.51	差价: 64.03	平均: 105.19	百分比变化: 52.38
